occ10,title,egp_label,egp10_10
5230,"Credit authorizers, checkers, and clerks",IIIa,3
5240,Customer service representatives,IIIa,3
5250,"Eligibility interviewers, government programs",IIIa,3
5260,File Clerks,IIIa,3
5300,"Hotel, motel, and resort desk clerks",IIIa,3
5310,"Interviewers, except eligibility and loan",IIIa,3
5320,"Library assistants, clerical",IIIa,3
5330,Loan interviewers and clerks,IIIa,3
5340,New accounts clerks,IIIa,3
5350,Order clerks,IIIa,3
5360,"Human resources assistants, except payroll and timekeeping",IIIa,3
5400,Receptionists and information clerks,IIIb,4
5410,Reservation and transportation ticket agents and travel clerks,IIIa,3
5420,"Information and record clerks, all other",IIIa,3
5500,Cargo and freight agents,IIIa,3
5510,Couriers and messengers,IIIb,4
5520,Dispatchers,IIIa,3
5530,"Meter readers, utilities",IIIa,3
5540,Postal service clerks,IIIa,3
5550,Postal service mail carriers,VIIa,10
5560,"Postal service mail sorters, processors, and processing machine operators",VIIa,10
5600,"Production, planning, and expediting clerks",IIIa,3
5610,"Shipping, receiving, and traffic clerks",VIIa,10
5620,Stock clerks and order fillers,VIIa,10
5630,"Weighers, measurers, checkers, and samplers, recordkeeping",IIIa,3
5700,Secretaries and administrative assistants,IIIa,3
5800,Computer operators,IIIa,3
5810,Data entry keyers,IIIa,3
5820,Word processors and typists,IIIa,3
5830,Desktop publishers,IIIa,3
5840,Insurance claims and policy processing clerks,IIIa,3
5850,"Mail clerks and mail machine operators, except postal service",VIIa,10
5860,"Office clerks, general",IIIa,3
5900,"Office machine operators, except computer",IIIa,3
5910,Proofreaders and copy markers,IIIa,3
5920,Statistical assistants,IIIa,3
5940,"Office and administrative support workers, all other",IIIa,3
6005,"First-line supervisors of farming, fishing, and forestry workers",VIIb,11
6010,Agricultural inspectors,VIIb,11
6020,Animal breeders,VIIb,11
6040,"Graders and sorters, agricultural products",VIIb,11
6050,Miscellaneous agricultural workers,VIIb,11
6100,Fishers and related fishing workers,VIIb,11
6110,Hunters and trappers,VIIb,11
6120,Forest and conservation workers,VI,9
6130,Logging workers,VIIa,10
6200,First-line supervisors of construction trades and extraction workers,V,8
6210,Boilermakers,VI,9
6220,"Brickmasons, blockmasons, and stonemasons",VI,9
6230,Carpenters,VI,9
6240,"Carpet, floor, and tile installers and finishers",VI,9
6250,"Cement masons, concrete finishers, and terrazzo workers",VIIa,10
6260,Construction laborers,VIIa,10
6300,"Paving, surfacing, and tamping equipment operators",VIIa,10
6310,Pile-driver operators,VI,9
6320,Operating engineers and other construction equipment operators,VI,9
6330,"Drywall installers, ceiling tile installers, and tapers",VI,9
6355,Electricians,VI,9
6360,Glaziers,VIIa,10
6400,Insulation workers,VI,9
6420,"Painters, construction and maintenance",VI,9
6430,Paperhangers,VI,9
6440,"Pipelayers, plumbers, pipefitters, and steamfitters",VI,9
6460,Plasterers and stucco masons,VIIa,10
6500,Reinforcing iron and rebar workers,VI,9
6515,Roofers,VIIa,10
6520,Sheet metal workers,VI,9
6530,Structural iron and steel workers,VI,9
6540,Solar photovoltaic installers,VIIa,10
6600,"Helpers, construction trades",VIIa,10
6660,Construction and building inspectors,V,8
6700,Elevator installers and repairers,V,8
6710,Fence erectors,VIIa,10
6720,Hazardous materials removal workers,VI,9
6730,Highway maintenance workers,VIIa,10
6740,Rail-track laying and maintenance equipment operators,VIIa,10
6750,Septic tank servicers and sewer pipe cleaners,VIIa,10
6765,Miscellaneous construction and related workers,VIIa,10
